      0.00000000e+00      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      1.00000000e+01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      2.00000000e+01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      3.00000000e+01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      4.00000000e+01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      5.00000000e+01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      6.00000000e+01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      7.00000000e+01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      8.00000000e+01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      9.00000000e+01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      1.00000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      1.10000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      1.20000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      1.30000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      1.40000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      1.50000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      1.60000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      1.70000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      1.80000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      1.90000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      2.00000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      2.10000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      2.20000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      2.30000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      2.40000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      2.50000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      2.60000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      2.70000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      2.80000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      2.90000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      3.00000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      3.10000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      3.20000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      3.30000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      3.40000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
      3.50000000e+02      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01      -9.56737023e-01
